"Client/Parent","Subsidiary/Affiliate","Total"
"American Bankers Assn","","$9120000"
"JPMorgan Chase & Co","","$6170000"
"Citigroup Inc","","$5500000"
"Independent Community Bankers of America","","$4790000"
"Bank of America","","$3570000"
"Wells Fargo","","$3000000"
"Barclays","","$2360000"
"HSBC Holdings","","$2306573"
"Consumer Bankers Assn","","$1400000"
"Electronic Payments Coalition","","$1060000"
"Royal Bank of Scotland","","$980000"
"Institute of International Bankers","","$810000"
"1st Financial Bank USA","","$810000"
"US Bancorp","","$703960"
"Toronto-Dominion Bank","","$683300"
"Bank of New York Mellon","","$640000"
"PNC Financial Services","","$500000"
"Alfa Bank","","$440000"
"Swiss Bankers Assn","","$420000"
"Midfirst Bank","","$260000"
"Huntington Bancshares","","$259235"
"Midland Financial","","$240000"
"Regions Financial","","$240000"
"National Assn of Govt Guaranteed Lenders","","$240000"
"Pacific Capital Bancorp","","$240000"
"KeyCorp","","$210000"
"Alliance for Consumer Credit","","$210000"
"Committee for a Level Playing Field","","$200000"
"Banco Santander","","$180000"
"First Premier Bank","","$180000"
"TCF Financial","","$150000"
"First Bank of Oak Park Corp","","$140000"
"Fifth Third Bancorp","","$130000"
"SVB Financial Group","","$130000"
"AB Ukio Bankas","","$120000"
"Agstar Financial Services","","$120000"
"MEAB sal","","$100000"
"BNP Paribas","","$90000"
"First Horizon National","","$90000"
"Trade Bank of Iraq","","$90000"
"Zions Bancorp","","$80000"
"Council of Development Finance Agencies","","$80000"
"Superior Bank","","$70000"
"WMI Investment Corp","","$62500"
"National Assn of Credit Specialists","","$60000"
"National Cooperative Bank","","$60000"
"European Banking Federation","","$60000"
"Central Park Credit Holdings","","$60000"
"NewStar Financial","","$50000"
"National Consumer Cooperative Bank","","$50000"
"IndyMac Bank","","$50000"
"Metropolitan Bank Group","","$40000"
"NCB Capital Impact","","$36000"
"State Street Development Co of Boston","","$30000"
"MSB Coalition","","$30000"
"BFC Financial","","$30000"
"Commercial Bank of Texas","","$30000"
"First National Bank of Georgia","","$30000"
"Colonial Bancgroup","","$20000"
"Mid-Sized Bank Coalition","","$20000"
"Medallion Financial","","$10000"
"Merrick Bank","","$10000"
"Popular Inc","","$10000"
"First Citizens Bancshares","","$10000"
"First National of Nebraska","","$0"
"Fremont Group","","$0"
"Grupo Financiero Banorte","","$0"
"HomeStreet Bank","","$0"
"Deutsche Bank AG","","$0"
"Financial Services Group","","$0"
"California Assn of Industrial Banks","","$0"
"Citizens Republic Bancorp","","$0"
"BAC International Credit Corp","","$0"
"Banco Popular de Puerto Rico","","$0"
"Sound Banking Coalition","","$0"
"Standard Chartered plc","","$0"
"SunTrust Banks","","$0"
"M&T Bank","","$0"
"International Bancshares Corp","","$0"
"International Banking Federation","","$0"
"Japan Bank for International Cooperation","","$0"
"Whitney National Bank","","$0"
"Trustco Bank","","$0"
"Union Bank of California","","$0"
