"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Angus & Nickerson","$90000","HSBC Holdings"," Barbara M Angus ","Revolving Door Profiles","Non Former Members of Congress"
"Angus & Nickerson","$90000","HSBC Holdings"," Gregory Nickerson ","Revolving Door Profiles","Non Former Members of Congress"
"Dutko Worldwide","$120000","HSBC Holdings"," Gary Andres ","Revolving Door Profiles","Non Former Members of Congress"
"Dutko Worldwide","$120000","HSBC Holdings"," Mary Clare Fitzgerald ","Revolving Door Profiles","Non Former Members of Congress"
"Dutko Worldwide","$120000","HSBC Holdings"," Laine Glisson Oliver ","Revolving Door Profiles","Non Former Members of Congress"
"Heather Podesta & Partners","$120000","HSBC North America"," Heather Podesta ","Revolving Door Profiles","Non Former Members of Congress"
"Heather Podesta & Partners","$120000","HSBC North America"," Eric Rosen ","Revolving Door Profiles","Non Former Members of Congress"
"Heather Podesta & Partners","$120000","HSBC North America"," Stacy Stordahl ","Revolving Door Profiles","Non Former Members of Congress"
"HSBC Holdings","$2840000",""," Monique Frazier ","Revolving Door Profiles","Non Former Members of Congress"
"HSBC Holdings","$2840000",""," J Dennis O'Toole ","No Revolving Door Profiles","Non Former Members of Congress"
"HSBC Holdings","$2840000",""," Thomas J Rosenkoetter ","Revolving Door Profiles","Non Former Members of Congress"
"HSBC Holdings","$2840000",""," Janet G St Amand ","No Revolving Door Profiles","Non Former Members of Congress"
"Smith-Free Group","$120000","HSBC Holdings"," Jon S Deuser ","Revolving Door Profiles","Non Former Members of Congress"
"Smith-Free Group","$120000","HSBC Holdings"," James C Free ","Revolving Door Profiles","Non Former Members of Congress"
"Smith-Free Group","$120000","HSBC Holdings"," Robert Hickmott ","Revolving Door Profiles","Non Former Members of Congress"
"Smith-Free Group","$120000","HSBC Holdings"," W Timothy Locke ","Revolving Door Profiles","Non Former Members of Congress"
"Smith-Free Group","$120000","HSBC Holdings"," James E Smith ","Revolving Door Profiles","Non Former Members of Congress"
"Washington Tax Group","$30000","HSBC Holdings"," Gregory Nickerson ","Revolving Door Profiles","Non Former Members of Congress"
