"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"American Continental Group","$40000","JPMorgan Chase & Co"," Shawn Smeallie ","Revolving Door Profiles","Non Former Members of Congress"
"American Continental Group","$40000","JPMorgan Chase & Co"," Peter Terpeluk ","No Revolving Door Profiles","Non Former Members of Congress"
"American Continental Group","$40000","JPMorgan Chase & Co"," Carlyle Thorsen ","Revolving Door Profiles","Non Former Members of Congress"
"Angus & Nickerson","$0","Bear Stearns"," Barbara M Angus ","Revolving Door Profiles","Non Former Members of Congress"
"Angus & Nickerson","$0","Bear Stearns"," Gregory Nickerson ","Revolving Door Profiles","Non Former Members of Congress"
"B&D Consulting","$20000","JPMorgan Chase & Co"," Frank S Swain ","Revolving Door Profiles","Non Former Members of Congress"
"Bear Stearns","$900000",""," Mary Lynn O'Neill ","No Revolving Door Profiles","Non Former Members of Congress"
"BKSH & Assoc","$140000","JPMorgan Chase & Co"," Charles Black ","Revolving Door Profiles","Non Former Members of Congress"
"BKSH & Assoc","$140000","JPMorgan Chase & Co"," Rich Meade ","Revolving Door Profiles","Non Former Members of Congress"
"BKSH & Assoc","$140000","JPMorgan Chase & Co"," MB Jr Oglesby ","Revolving Door Profiles","Non Former Members of Congress"
"BKSH & Assoc","$140000","JPMorgan Chase & Co"," Keith H Smith ","Revolving Door Profiles","Non Former Members of Congress"
"BKSH & Assoc","$140000","JPMorgan Chase & Co"," Jeffrey C Weiss ","Revolving Door Profiles","Non Former Members of Congress"
"Bryan Cave LLP","$20000","JPMorgan Chase & Co"," Broderick D Johnson ","Revolving Door Profiles","Non Former Members of Congress"
"David L Horne LLC","$60000","JPMorgan Chase & Co"," David L Horne ","Revolving Door Profiles","Non Former Members of Congress"
"Equale & Assoc","$60000","JPMorgan Chase & Co"," Paul Andrew Equale ","Revolving Door Profiles","Non Former Members of Congress"
"Fennel Consulting","$52000","JPMorgan Chase & Co"," Melody H Fennel ","Revolving Door Profiles","Non Former Members of Congress"
"Hohlt Group","$95500","JPMorgan Chase & Co"," Richard F Hohlt ","Revolving Door Profiles","Non Former Members of Congress"
"JPMorgan Chase & Co","$5440000",""," Naomi G Camper ","Revolving Door Profiles","Non Former Members of Congress"
"JPMorgan Chase & Co","$5440000",""," Robert E Griner ","Revolving Door Profiles","Non Former Members of Congress"
"JPMorgan Chase & Co","$5440000",""," James A Keller ","Revolving Door Profiles","Non Former Members of Congress"
"JPMorgan Chase & Co","$5440000",""," Rick A Lazio ","Revolving Door Profiles","Former Members of Congress"
"JPMorgan Chase & Co","$5440000",""," Steven R Patterson ","Revolving Door Profiles","Non Former Members of Congress"
"JPMorgan Chase & Co","$5440000",""," Stephen S Ruhlen ","Revolving Door Profiles","Non Former Members of Congress"
"Mayer Brown et al","$80000","JPMorgan Chase & Co"," Robert E Glennon ","No Revolving Door Profiles","Non Former Members of Congress"
"OB-C Group","$240000","JPMorgan Chase & Co"," Michael S Johnson ","Revolving Door Profiles","Non Former Members of Congress"
"OB-C Group","$240000","JPMorgan Chase & Co"," Thomas J Keating ","Revolving Door Profiles","Non Former Members of Congress"
"OB-C Group","$240000","JPMorgan Chase & Co"," Robert H Marsh ","Revolving Door Profiles","Non Former Members of Congress"
"OB-C Group","$240000","JPMorgan Chase & Co"," Charles J Mellody ","Revolving Door Profiles","Non Former Members of Congress"
"OB-C Group","$240000","JPMorgan Chase & Co"," Nathan J Miller ","Revolving Door Profiles","Non Former Members of Congress"
"OB-C Group","$240000","JPMorgan Chase & Co"," Patricia A Nelson ","Revolving Door Profiles","Non Former Members of Congress"
"OB-C Group","$240000","JPMorgan Chase & Co"," Lawrence F III O'Brien ","Revolving Door Profiles","Non Former Members of Congress"
"OB-C Group","$240000","JPMorgan Chase & Co"," Robert G Stevenson ","Revolving Door Profiles","Non Former Members of Congress"
"Steptoe & Johnson","$200000","Bear Stearns"," John T Collins ","Revolving Door Profiles","Non Former Members of Congress"
"Thaxton Richard R","$95000","JP Morgan Electronic Financial Services"," Richard R Thaxton ","No Revolving Door Profiles","Non Former Members of Congress"
"Triangle Assoc","$40000","JPMorgan Chase & Co"," Philip Blalcok ","No Revolving Door Profiles","Non Former Members of Congress"
