"Lobbying Firm Hired","Total Amount*","Client","Lobbyist","Revolving Door Profiles","Former Members of Congress"
"Gray Geoffrey P","$80000","Regions Financial"," Geoffrey P Gray ","Revolving Door Profiles","Non Former Members of Congress"
"Levine & Co","$20000","Regions Financial"," Kenneth S Levine ","Revolving Door Profiles","Non Former Members of Congress"
"Maynard Cooper & Gale","$70000","Regions Financial"," Stephen W Still ","No Revolving Door Profiles","Non Former Members of Congress"
"Nappi & Hoppe","$90000","Regions Financial"," Rodney C Hoppe ","Revolving Door Profiles","Non Former Members of Congress"
"Nappi & Hoppe","$90000","Regions Financial"," Chris Matthiesen ","Revolving Door Profiles","Non Former Members of Congress"
"Nappi & Hoppe","$90000","Regions Financial"," Douglas R Nappi ","Revolving Door Profiles","Non Former Members of Congress"
"Porterfield Lowenthal & Fettig","$40000","Regions Financial"," Dawn Callaghan ","Revolving Door Profiles","Non Former Members of Congress"
"Porterfield Lowenthal & Fettig","$40000","Regions Financial"," Jillien Williams Flores ","Revolving Door Profiles","Non Former Members of Congress"
"Porterfield Lowenthal & Fettig","$40000","Regions Financial"," Kirsten T Johnson-Obey ","Revolving Door Profiles","Non Former Members of Congress"
"Porterfield Lowenthal & Fettig","$40000","Regions Financial"," Andrew Lowenthal ","Revolving Door Profiles","Non Former Members of Congress"
"Porterfield Lowenthal & Fettig","$40000","Regions Financial"," Jason Pitcock ","Revolving Door Profiles","Non Former Members of Congress"
"Porterfield Lowenthal & Fettig","$40000","Regions Financial"," Lendell W Porterfield ","Revolving Door Profiles","Non Former Members of Congress"
"Regions Financial","$1230000",""," Chris Scribner ","No Revolving Door Profiles","Non Former Members of Congress"
"Regions Financial","$1230000",""," Brian Keith Smith ","No Revolving Door Profiles","Non Former Members of Congress"
"Smith-Free Group","$80000","Regions Financial"," Andrew H Barbour ","Revolving Door Profiles","Non Former Members of Congress"
"Smith-Free Group","$80000","Regions Financial"," Jon S Deuser ","Revolving Door Profiles","Non Former Members of Congress"
"Walter Group","$80000","Regions Financial"," Jeffrey M Walter ","Revolving Door Profiles","Non Former Members of Congress"
